School,Public,Location,Earn,SAT,Price,need_fraction
Taylor University,0,"Upland, IN",41700,1170,42500,0.59
Loyola University Maryland,0,"Baltimore, MD",51900,1180,62300,0.52
University of Kentucky,1,"Lexington, KY",46200,1120,26400,0.27
Southern Nazarene University,0,"Bethany, OK",43000,1190,34800,NA
King's College,0,"Wilkes-Barre, PA",39400,1130,49200,0.8
Winthrop University,1,"Rock Hill, SC",37800,1030,27300,0.66
University of North Texas,1,"Denton, TX",44200,1110,22100,0.42
Catholic University of America,0,"Washington, DC",50000,1120,59500,0.57
CUNY Brooklyn College,1,"Brooklyn, NY",42900,NA,26100,0.74
Oakwood University,0,"Huntsville, AL",38900,920,37200,0.88
University of California-Berkeley,1,"Berkeley, CA",60300,1360,35700,0.51
University of Mount Olive,0,"Mount Olive, NC",36100,920,29600,0.66
Merrimack College,0,"North Andover, MA",51700,1190,53300,0.71
Virginia Polytechnic Institute and State University,1,"Blacksburg, VA",55300,1220,26900,0.32
Carthage College,0,"Kenosha, WI",41500,1100,52300,0.75
Concordia College-New York,0,"Bronxville, NY",43500,920,44000,0.65
Louisiana Tech University,1,"Ruston, LA",47600,NA,19400,0.35
Florida Southern College,0,"Lakeland, FL",38900,1090,45400,0.69
Illinois Institute of Technology,0,"Chicago, IL",59000,1270,59500,0.54
Princeton University,0,"Princeton, NJ",62800,1510,61300,0.59
CUNY College of Staten Island,1,"Staten Island, NY",44000,1000,30600,0.62
Mount Saint Mary College,0,"Newburgh, NY",49500,1000,45400,0.79
Saint Anselm College,0,"Manchester, NH",50000,1150,54200,0.72
Maryville University of Saint Louis,0,"Saint Louis, MO",43000,1100,46300,0.67
Southeast Missouri State University,1,"Cape Girardeau, MO",38400,NA,20600,0.54
Loras College,0,"Dubuque, IA",40200,980,41800,0.73
North Carolina State University at Raleigh,1,"Raleigh, NC",51100,1230,23900,0.46
College of Our Lady of the Elms,0,"Chicopee, MA",49700,930,47900,0.85
Arizona State University,1,"Tempe, AZ",48900,1150,25600,0.54
Hollins University,0,"Roanoke, VA",34600,1100,51400,0.8
University of Wisconsin-River Falls,1,"River Falls, WI",39600,1150,18700,0.36
Manhattan College,0,"Riverdale, NY",58000,1080,56300,0.67
Old Dominion University,1,"Norfolk, VA",43800,1030,24000,0.49
Texas Christian University,0,"Fort Worth, TX",47400,1180,55900,0.35
University of St. Thomas,0,"Saint Paul, MN",47600,1160,51600,0.56
University of Houston,1,"Houston, TX",51500,1140,24000,0.5
Saint Marys College of California,0,"Moraga, CA",51100,NA,61700,0.68
California State University-San Bernardino,1,"San Bernardino, CA",42100,900,21200,0.78
Montclair State University,1,"Montclair, NJ",43700,970,29500,0.36
University of North Carolina School of the Arts,1,"Winston-Salem, NC",54800,NA,23100,0.56
University of Nevada-Reno,1,"Reno, NV",48300,1080,23500,0.41
Rice University,0,"Houston, TX",63700,NA,58600,0.39
Bowling Green State University-Main Campus,1,"Bowling Green, OH",41600,1010,25200,0.55
Valparaiso University,0,"Valparaiso, IN",47700,1110,49700,0.73
Southwestern University,0,"Georgetown, TX",48100,1170,51100,0.63
Illinois College,0,"Jacksonville, IL",38900,NA,42400,0.84
University of Illinois at Chicago,1,"Chicago, IL",51000,1120,30700,0.61
Toccoa Falls College,0,"Toccoa Falls, GA",32400,1030,34100,0.77
Clarkson University,0,"Potsdam, NY",61700,1190,62300,0.84
Colgate University,0,"Hamilton, NY",55800,1370,64900,0.34
Colorado State University-Fort Collins,1,"Fort Collins, CO",46200,1140,24500,0.34
Framingham State University,1,"Framingham, MA",42500,1040,24100,0.51
Bloomsburg University of Pennsylvania,1,"Bloomsburg, PA",43700,990,23500,0.41
Saint Mary's University of Minnesota,0,"Winona, MN",45300,1030,42700,0.73
Loyola University New Orleans,0,"New Orleans, LA",39400,1140,54500,0.68
Converse College,0,"Spartanburg, SC",34700,1060,31100,0.79
Montana State University,1,"Bozeman, MT",48800,1140,20600,0.39
University of La Verne,0,"La Verne, CA",43100,NA,56000,0.72
University of California-Santa Cruz,1,"Santa Cruz, CA",49600,1100,35600,0.67
Marian University-Fond Du Lac,0,"Fond Du Lac, WI",43700,1070,38100,0.89
Presbyterian College,0,"Clinton, SC",39500,NA,49800,0.79
Seattle Pacific University,0,"Seattle, WA",44900,1140,51600,0.71
Whitworth University,0,"Spokane, WA",42900,1280,52400,0.69
Bennett College,0,"Greensboro, NC",39601,980,32300,0.91
Westminster College-Salt Lake City,0,"Salt Lake City, UT",45400,1110,45000,0.58
Vanderbilt University,0,"Nashville, TN",58300,1490,64800,0.45
Indiana University of Pennsylvania-Main Campus,1,"Indiana, PA",41800,980,25100,0.45
Mississippi State University,1,"Mississippi State, MS",46100,1110,23500,0.54
Northeastern University,0,"Boston, MA",55600,1390,62700,0.37
University of Delaware,1,"Newark, DE",50700,NA,27300,0.41
Macalester College,0,"Saint Paul, MN",42600,1340,62200,0.69
Wofford College,NA,"Spartanburg, SC",45900,NA,53600,0.62
Asbury University,0,"Wilmore, KY",33600,1120,38000,0.78
University of Rhode Island,1,"Kingston, RI",48600,1070,28600,0.67
Millsaps College,0,"Jackson, MS",40000,1130,50600,0.6
University of Missouri-Columbia,1,"Columbia, MO",44100,1170,24600,0.39
SUNY College of Agriculture and Technology at Cobleskill,1,"Cobleskill, NY",34400,990,24200,0.75
Webster University,0,"Saint Louis, MO",39500,NA,43300,0.66
Barnard College,0,"New York, NY",48500,1340,65800,0.4
Elon University,0,"Elon, NC",45100,1220,47200,0.3
Babson College,0,"Wellesley, MA",60000,1260,65000,0.4
Nebraska Wesleyan University,0,"Lincoln, NE",41900,1100,42600,0.7
Mayville State University,1,"Mayville, ND",36700,1190,17700,0.52
Point Loma Nazarene University,0,"San Diego, CA",43800,1150,47800,0.64
